formula,band_gap,elements
BaGePt,0.0,"['Ba', 'Ge', 'Pt']"
BaGeS3,2.4497,"['Ba', 'Ge', 'S']"
BaH2,2.8697,"['Ba', 'H']"
BaH4O3,4.2591,"['Ba', 'H', 'O']"
BaH5BrO3,4.7616,"['Ba', 'Br', 'H', 'O']"
BaH5ClO3,4.9758000000000004,"['Ba', 'Cl', 'H', 'O']"
BaH6F8,7.571899999999999,"['Ba', 'F', 'H']"
BaH8O5,5.107,"['Ba', 'H', 'O']"
BaHBr,3.2113,"['Ba', 'Br', 'H']"
BaHBrO,4.2077,"['Ba', 'Br', 'H', 'O']"
BaHCl,3.4827,"['Ba', 'Cl', 'H']"
BaHClO,4.8576,"['Ba', 'Cl', 'H', 'O']"
BaHI,2.811099999999999,"['Ba', 'H', 'I']"
BaHIO,3.936199999999999,"['Ba', 'H', 'I', 'O']"
BaHf(BO3)2,4.7103,"['B', 'Ba', 'Hf', 'O']"
BaHf(PO4)2,4.9273,"['Ba', 'Hf', 'O', 'P']"
BaHf(SiO3)3,4.6887,"['Ba', 'Hf', 'O', 'Si']"
BaHfF6,7.123200000000001,"['Ba', 'F', 'Hf']"
BaHfN2,1.2537,"['Ba', 'Hf', 'N']"
BaHfO3,3.5394,"['Ba', 'Hf', 'O']"
BaHfS3,1.252399999999999,"['Ba', 'Hf', 'S']"
BaHg,0.0,"['Ba', 'Hg']"
BaHg2,0.0,"['Ba', 'Hg']"
BaHg2(ClO)2,1.610999999999999,"['Ba', 'Cl', 'Hg', 'O']"
BaHg2Pb,0.0,"['Ba', 'Hg', 'Pb']"
BaHg3,0.0,"['Ba', 'Hg']"
BaHg6,0.0,"['Ba', 'Hg']"
BaHgAs2O7,1.4956,"['As', 'Ba', 'Hg', 'O']"
BaHgO2,2.2727,"['Ba', 'Hg', 'O']"
BaHgPb,0.0,"['Ba', 'Hg', 'Pb']"
BaHgRuO5,0.35040000000000004,"['Ba', 'Hg', 'O', 'Ru']"
BaHgS2,1.1569,"['Ba', 'Hg', 'S']"
BaHo2O4,3.2256,"['Ba', 'Ho', 'O']"
BaHo4Si5O17,4.770399999999999,"['Ba', 'Ho', 'O', 'Si']"
BaI2,3.4525,"['Ba', 'I']"
BaIBr,3.542299999999999,"['Ba', 'Br', 'I']"
BaIF,4.0263,"['Ba', 'F', 'I']"
BaIn,0.0,"['Ba', 'In']"
BaIn2,0.0,"['Ba', 'In']"
BaIn2(P2O7)2,4.004799999999999,"['Ba', 'In', 'O', 'P']"
BaIn2Ir,0.0,"['Ba', 'In', 'Ir']"
BaIn2Pd,0.0,"['Ba', 'In', 'Pd']"
BaIn2Pt,0.0,"['Ba', 'In', 'Pt']"
BaIn2Rh,0.0,"['Ba', 'In', 'Rh']"
BaIn4,0.0,"['Ba', 'In']"
BaIn9Ir2,0.0,"['Ba', 'In', 'Ir']"
BaInCuF7,1.3409,"['Ba', 'Cu', 'F', 'In']"
BaInF5,4.7954,"['Ba', 'F', 'In']"
BaIrF6,0.0,"['Ba', 'F', 'Ir']"
BaLa(BiS3)2,0.837299999999999,"['Ba', 'Bi', 'La', 'S']"
BaLa(SbSe3)2,0.6452999999999991,"['Ba', 'La', 'Sb', 'Se']"
BaLa2(SiS4)2,2.7289,"['Ba', 'La', 'S', 'Si']"
BaLa2MnS5,0.0,"['Ba', 'La', 'Mn', 'S']"
BaLa2O4,3.1295,"['Ba', 'La', 'O']"
BaLa2PtO5,2.4067,"['Ba', 'La', 'O', 'Pt']"
BaLa2Sc2O7,3.6458,"['Ba', 'La', 'O', 'Sc']"
BaLa2Te5O14,3.2436,"['Ba', 'La', 'O', 'Te']"
BaLa2WO7,3.3342,"['Ba', 'La', 'O', 'W']"
BaLa2ZnS5,1.4565000000000001,"['Ba', 'La', 'S', 'Zn']"
BaLaB12,0.0,"['B', 'Ba', 'La']"
BaLaCuS3,1.0948,"['Ba', 'Cu', 'La', 'S']"
BaLaCuSe3,1.205299999999999,"['Ba', 'Cu', 'La', 'Se']"
BaLaCuTe3,0.8131,"['Ba', 'Cu', 'La', 'Te']"
BaLaI4,0.0,"['Ba', 'I', 'La']"
BaLaSi2,0.0,"['Ba', 'La', 'Si']"
BaLi(B3O5)3,5.7835,"['B', 'Ba', 'Li', 'O']"
BaLi(BS2)3,2.8597,"['B', 'Ba', 'Li', 'S']"
BaLi2(MgGe)2,0.0,"['Ba', 'Ge', 'Li', 'Mg']"
BaLi2(MgSi)2,0.0,"['Ba', 'Li', 'Mg', 'Si']"
BaLi2MnV2O8,2.7197,"['Ba', 'Li', 'Mn', 'O', 'V']"
BaLi2Si,0.0,"['Ba', 'Li', 'Si']"
BaLi2SiO4,4.3955,"['Ba', 'Li', 'O', 'Si']"
BaLi2Ti6O14,2.9428,"['Ba', 'Li', 'O', 'Ti']"
BaLi4,0.0,"['Ba', 'Li']"
BaLiAlF6,7.4521,"['Al', 'Ba', 'F', 'Li']"
BaLiAs,0.5928,"['As', 'Ba', 'Li']"
BaLiBO3,4.489000000000001,"['B', 'Ba', 'Li', 'O']"
BaLiBS3,2.1532,"['B', 'Ba', 'Li', 'S']"
BaLiCrF6,3.9628,"['Ba', 'Cr', 'F', 'Li']"
BaLiGe2,0.0,"['Ba', 'Ge', 'Li']"
BaLiH3,2.2146,"['Ba', 'H', 'Li']"
BaLiP,0.9631000000000001,"['Ba', 'Li', 'P']"
BaLiSb,0.6946999999999991,"['Ba', 'Li', 'Sb']"
BaLu2F8,7.3128,"['Ba', 'F', 'Lu']"
BaLu2Si3O10,4.830500000000001,"['Ba', 'Lu', 'O', 'Si']"
BaMg,0.0,"['Ba', 'Mg']"
BaMg2,0.0,"['Ba', 'Mg']"
BaMg2FeH8,1.447099999999999,"['Ba', 'Fe', 'H', 'Mg']"
BaMg2H8Ru,1.910699999999999,"['Ba', 'H', 'Mg', 'Ru']"
BaMg2Si2O7,4.558,"['Ba', 'Mg', 'O', 'Si']"
BaMg2V2O8,3.5789,"['Ba', 'Mg', 'O', 'V']"
BaMg4Ge3,0.0,"['Ba', 'Ge', 'Mg']"
BaMg4Si3,0.0,"['Ba', 'Mg', 'Si']"
BaMgBO3F,4.1903,"['B', 'Ba', 'F', 'Mg', 'O']"
BaMgCuF7,0.24980000000000002,"['Ba', 'Cu', 'F', 'Mg']"
BaMgGe,0.0,"['Ba', 'Ge', 'Mg']"
BaMgIn3,0.0,"['Ba', 'In', 'Mg']"
BaMgMoF7,4.7534,"['Ba', 'F', 'Mg', 'Mo']"
BaMgP2O7,5.5594,"['Ba', 'Mg', 'O', 'P']"
BaMgSi,0.0,"['Ba', 'Mg', 'Si']"
BaMgVF7,2.529,"['Ba', 'F', 'Mg', 'V']"
BaMn2Si2O7,2.6464,"['Ba', 'Mn', 'O', 'Si']"
BaMn2V2O8,2.2123,"['Ba', 'Mn', 'O', 'V']"
BaMn3(PO4)3,0.0,"['Ba', 'Mn', 'O', 'P']"
BaMn5(SO4)6,4.3486,"['Ba', 'Mn', 'O', 'S']"
BaMn8O16,0.772899999999999,"['Ba', 'Mn', 'O']"
BaMn9V6(HO13)2,2.1098,"['Ba', 'H', 'Mn', 'O', 'V']"
BaMnF5,2.6390000000000002,"['Ba', 'F', 'Mn']"
BaMnN2,0.0,"['Ba', 'Mn', 'N']"
BaMnO3,0.8952999999999991,"['Ba', 'Mn', 'O']"
BaMnP(O2F)2,0.9484,"['Ba', 'F', 'Mn', 'O', 'P']"
BaMnP2O7,3.984,"['Ba', 'Mn', 'O', 'P']"
BaMnPClO4F,2.460099999999999,"['Ba', 'Cl', 'F', 'Mn', 'O', 'P']"
BaMnS2,0.0,"['Ba', 'Mn', 'S']"
BaMnSnSe4,0.9066000000000001,"['Ba', 'Mn', 'Se', 'Sn']"
BaMo(PO4)2,1.704199999999999,"['Ba', 'Mo', 'O', 'P']"
BaMo2(P2O7)2,3.9317,"['Ba', 'Mo', 'O', 'P']"
BaMo2(PO6)2,3.0078,"['Ba', 'Mo', 'O', 'P']"
BaMo2P3O14,1.869699999999999,"['Ba', 'Mo', 'O', 'P']"
BaMo2Se2O11,2.5898,"['Ba', 'Mo', 'O', 'Se']"
BaMoO3,0.0,"['Ba', 'Mo', 'O']"
BaMoO4,3.7927,"['Ba', 'Mo', 'O']"
BaN2,0.0,"['Ba', 'N']"
BaNa,0.087899999999999,"['Ba', 'Na']"
BaNa(B3O5)3,5.6048,"['B', 'Ba', 'Na', 'O']"
BaNa(PO3)3,5.6086,"['Ba', 'Na', 'O', 'P']"
BaNa2Al4(SiO4)4,4.7346,"['Al', 'Ba', 'Na', 'O', 'Si']"
BaNa2Mg(PO4)2,5.0412,"['Ba', 'Mg', 'Na', 'O', 'P']"
BaNa2Nd2Si4CO15,4.8225999999999996,"['Ba', 'C', 'Na', 'Nd', 'O', 'Si']"
BaNa4Ti2Si10(BO15)2,3.4488,"['B', 'Ba', 'Na', 'O', 'Si', 'Ti']"
BaNa5Ca7P6(O8F)3,5.0573,"['Ba', 'Ca', 'F', 'Na', 'O', 'P']"
BaNaAlF6,7.148199999999999,"['Al', 'Ba', 'F', 'Na']"
BaNaB5O9,5.1816,"['B', 'Ba', 'Na', 'O']"
BaNaBO3,3.6487,"['B', 'Ba', 'Na', 'O']"
BaNaBi,0.23550000000000001,"['Ba', 'Bi', 'Na']"
BaNaCe2C4O12F,0.24960000000000002,"['Ba', 'C', 'Ce', 'F', 'Na', 'O']"
BaNaCr2F9,3.5815,"['Ba', 'Cr', 'F', 'Na']"
BaNaCrF6,4.3208,"['Ba', 'Cr', 'F', 'Na']"
BaNaFeF6,4.059,"['Ba', 'F', 'Fe', 'Na']"
BaNaGaF6,6.093,"['Ba', 'F', 'Ga', 'Na']"
BaNaH6Ir,3.223099999999999,"['Ba', 'H', 'Ir', 'Na']"
BaNaHg2,0.0,"['Ba', 'Hg', 'Na']"
BaNaLi3(BO2)6,5.3099,"['B', 'Ba', 'Li', 'Na', 'O']"
BaNaNd(GeO3)3,3.7869,"['Ba', 'Ge', 'Na', 'Nd', 'O']"
BaNaNdSi2O7,4.6624,"['Ba', 'Na', 'Nd', 'O', 'Si']"
BaNaP,0.8555,"['Ba', 'Na', 'P']"
BaNaP3H3(NO2)3,4.8274,"['Ba', 'H', 'N', 'Na', 'O', 'P']"
BaNaPO4,4.6009,"['Ba', 'Na', 'O', 'P']"
BaNaSc(BO3)2,3.8127999999999993,"['B', 'Ba', 'Na', 'O', 'Sc']"
BaNaVF6,2.5539,"['Ba', 'F', 'Na', 'V']"
BaNaVS4,1.5001,"['Ba', 'Na', 'S', 'V']"
BaNaZrF7,6.0616,"['Ba', 'F', 'Na', 'Zr']"
BaNb10SiO19,0.0,"['Ba', 'Nb', 'O', 'Si']"
BaNb2Fe2(PO4)6,2.445799999999999,"['Ba', 'Fe', 'Nb', 'O', 'P']"
BaNb2O6,3.016,"['Ba', 'Nb', 'O']"
BaNb2O6,2.6146000000000003,"['Ba', 'Nb', 'O']"
BaNb2V2O11,2.1233,"['Ba', 'Nb', 'O', 'V']"
BaNb2Xe5F22,2.6409000000000002,"['Ba', 'F', 'Nb', 'Xe']"
BaNb4O6,0.0,"['Ba', 'Nb', 'O']"
BaNb5O8,0.0,"['Ba', 'Nb', 'O']"
BaNb7O9,0.0,"['Ba', 'Nb', 'O']"
BaNb8O14,0.325099999999999,"['Ba', 'Nb', 'O']"
BaNbO3,0.0,"['Ba', 'Nb', 'O']"
BaNbTePO8,2.8368,"['Ba', 'Nb', 'O', 'P', 'Te']"
BaNd(SnS3)2,0.3689,"['Ba', 'Nd', 'S', 'Sn']"
BaNd2BeO5,3.875499999999999,"['Ba', 'Be', 'Nd', 'O']"
BaNd2CoO5,1.405899999999999,"['Ba', 'Co', 'Nd', 'O']"
BaNd2MnS5,0.0,"['Ba', 'Mn', 'Nd', 'S']"
BaNd2NiO5,1.9985,"['Ba', 'Nd', 'Ni', 'O']"
BaNd2O4,3.097299999999999,"['Ba', 'Nd', 'O']"
BaNd2PdO5,2.219099999999999,"['Ba', 'Nd', 'O', 'Pd']"
BaNd2PtO5,2.5077,"['Ba', 'Nd', 'O', 'Pt']"
BaNd2Sc2O7,3.5251,"['Ba', 'Nd', 'O', 'Sc']"
BaNdCuBO5,0.0,"['B', 'Ba', 'Cu', 'Nd', 'O']"
BaNdMn2O5,0.0,"['Ba', 'Mn', 'Nd', 'O']"
BaNi2(AsO4)2,2.8416,"['As', 'Ba', 'Ni', 'O']"
BaNi2(PO4)2,0.0,"['Ba', 'Ni', 'O', 'P']"
BaNi9As5,0.0,"['As', 'Ba', 'Ni']"
BaNi9P5,0.0,"['Ba', 'Ni', 'P']"
BaNiF4,4.6572,"['Ba', 'F', 'Ni']"
BaNiF6,0.4727,"['Ba', 'F', 'Ni']"
BaNiIO6,0.0,"['Ba', 'I', 'Ni', 'O']"
BaNiN,0.0,"['Ba', 'N', 'Ni']"
BaNiO3,1.469199999999999,"['Ba', 'Ni', 'O']"
BaNiP2O7,3.3322,"['Ba', 'Ni', 'O', 'P']"
BaNiSn3,0.0,"['Ba', 'Ni', 'Sn']"
BaNp(HO2)3,1.458699999999999,"['Ba', 'H', 'Np', 'O']"
BaNp(PO4)2,0.0,"['Ba', 'Np', 'O', 'P']"
BaNpO3,0.0,"['Ba', 'Np', 'O']"
BaNpO4,0.510799999999999,"['Ba', 'Np', 'O']"
BaO,2.0906,"['Ba', 'O']"
BaO10,0.0,"['Ba', 'O']"
BaO2,2.2352,"['Ba', 'O']"
BaP2,0.5585999999999991,"['Ba', 'P']"
BaP2(HO)4,5.2848,"['Ba', 'H', 'O', 'P']"
BaP2(HO2)4,5.801,"['Ba', 'H', 'O', 'P']"
BaP2(XeF5)4,2.702499999999999,"['Ba', 'F', 'P', 'Xe']"
BaP2PbO7,4.3622,"['Ba', 'O', 'P', 'Pb']"
BaP2PdO7,0.7159999999999991,"['Ba', 'O', 'P', 'Pd']"
BaP3,0.5735,"['Ba', 'P']"
BaP3Pt2,0.129199999999999,"['Ba', 'P', 'Pt']"
BaP4O11,5.3808,"['Ba', 'O', 'P']"
BaPAu,0.0,"['Au', 'Ba', 'P']"
BaPIr,0.0,"['Ba', 'Ir', 'P']"
BaPO3F,5.25,"['Ba', 'F', 'O', 'P']"
BaPPd,0.29559999999999903,"['Ba', 'P', 'Pd']"
BaPPt,0.0,"['Ba', 'P', 'Pt']"
BaPS3,3.1164,"['Ba', 'P', 'S']"
BaPSe3,2.1651,"['Ba', 'P', 'Se']"
BaPaO3,0.0,"['Ba', 'O', 'Pa']"
BaPb,0.0,"['Ba', 'Pb']"
BaPb3,0.0,"['Ba', 'Pb']"
BaPb3O4,2.0029,"['Ba', 'O', 'Pb']"
BaPbF6,2.8927,"['Ba', 'F', 'Pb']"
BaPbO3,0.199299999999999,"['Ba', 'O', 'Pb']"
BaPd,0.0,"['Ba', 'Pd']"
BaPd(IO3)4,1.905799999999999,"['Ba', 'I', 'O', 'Pd']"
BaPd(SeO3)2,1.6510999999999991,"['Ba', 'O', 'Pd', 'Se']"
BaPd2,0.0,"['Ba', 'Pd']"
BaPd5,0.0,"['Ba', 'Pd']"
BaPdF4,1.4527,"['Ba', 'F', 'Pd']"
BaPdS2,0.3649,"['Ba', 'Pd', 'S']"
BaPr(SnS3)2,0.3729,"['Ba', 'Pr', 'S', 'Sn']"
BaPr2MnS5,0.0,"['Ba', 'Mn', 'Pr', 'S']"
BaPr2NiO5,2.167399999999999,"['Ba', 'Ni', 'O', 'Pr']"
BaPr2O4,3.0759,"['Ba', 'O', 'Pr']"
BaPr2PdO5,2.138899999999999,"['Ba', 'O', 'Pd', 'Pr']"
BaPr2Sc2O7,3.543299999999999,"['Ba', 'O', 'Pr', 'Sc']"
BaPrCuTe3,0.5658000000000001,"['Ba', 'Cu', 'Pr', 'Te']"
BaPrMn2O5,0.0,"['Ba', 'Mn', 'O', 'Pr']"
BaPt,0.0,"['Ba', 'Pt']"
BaPt2,0.0,"['Ba', 'Pt']"
BaPt2S3,1.3649,"['Ba', 'Pt', 'S']"
BaPt5,0.0,"['Ba', 'Pt']"
BaPuO3,0.0,"['Ba', 'O', 'Pu']"
BaRe2H2O9,3.9278999999999993,"['Ba', 'H', 'O', 'Re']"
BaRe2O9,0.41540000000000005,"['Ba', 'O', 'Re']"
BaReH9,3.8349,"['Ba', 'H', 'Re']"
BaReN3,1.7855,"['Ba', 'N', 'Re']"
BaRh2,0.0,"['Ba', 'Rh']"
BaRhF6,0.0,"['Ba', 'F', 'Rh']"
BaRu2Xe5F22,1.239299999999999,"['Ba', 'F', 'Ru', 'Xe']"
BaRuO3,0.0,"['Ba', 'O', 'Ru']"
BaRuO5,0.895899999999999,"['Ba', 'O', 'Ru']"
BaS,2.1488,"['Ba', 'S']"
BaS2,1.598199999999999,"['Ba', 'S']"
BaS3,1.391299999999999,"['Ba', 'S']"
BaS4O13,4.6756,"['Ba', 'O', 'S']"
BaSO4,5.950699999999999,"['Ba', 'O', 'S']"
BaSb2,0.0,"['Ba', 'Sb']"
BaSb2F12,4.393800000000001,"['Ba', 'F', 'Sb']"
BaSb2Pd,0.0,"['Ba', 'Pd', 'Sb']"
BaSb2Xe5F22,2.5745,"['Ba', 'F', 'Sb', 'Xe']"
BaSbAu,0.0,"['Au', 'Ba', 'Sb']"
BaSbClO2,2.8810000000000002,"['Ba', 'Cl', 'O', 'Sb']"
BaSbF5,4.7524999999999995,"['Ba', 'F', 'Sb']"
BaSbPt,0.0,"['Ba', 'Pt', 'Sb']"
BaSbTe3,0.620699999999999,"['Ba', 'Sb', 'Te']"
BaSc2O4,3.9283,"['Ba', 'O', 'Sc']"
BaSc2Si3O10,4.758,"['Ba', 'O', 'Sc', 'Si']"
BaSc3AgS6,1.4793999999999992,"['Ag', 'Ba', 'S', 'Sc']"
BaScCuS3,0.8353,"['Ba', 'Cu', 'S', 'Sc']"
BaSe,1.948799999999999,"['Ba', 'Se']"
BaSe2,0.6166,"['Ba', 'Se']"
BaSe2O5,3.3889,"['Ba', 'O', 'Se']"
BaSe3,0.926,"['Ba', 'Se']"
BaSeO3,3.886599999999999,"['Ba', 'O', 'Se']"
BaSeO4,3.7215,"['Ba', 'O', 'Se']"
BaSi,0.0,"['Ba', 'Si']"
BaSi(S2O7)3,5.2901,"['Ba', 'O', 'S', 'Si']"
BaSi12Pt5,0.0,"['Ba', 'Pt', 'Si']"
BaSi2,0.7812999999999991,"['Ba', 'Si']"
BaSi2(BO4)2,5.5233,"['B', 'Ba', 'O', 'Si']"
BaSi2(NO)2,3.0102,"['Ba', 'N', 'O', 'Si']"
BaSi2O5,4.7582,"['Ba', 'O', 'Si']"
BaSi3Pd,0.0,"['Ba', 'Pd', 'Si']"
BaSi3SnO9,3.7306,"['Ba', 'O', 'Si', 'Sn']"
BaSi6N8O,4.2279,"['Ba', 'N', 'O', 'Si']"
BaSi7N10,3.9124,"['Ba', 'N', 'Si']"
BaSi9Rh2,0.17930000000000001,"['Ba', 'Rh', 'Si']"
BaSiAu,0.0,"['Au', 'Ba', 'Si']"
BaSiF6,7.4159,"['Ba', 'F', 'Si']"
BaSiN2,2.9202,"['Ba', 'N', 'Si']"
BaSiO3,4.6708,"['Ba', 'O', 'Si']"
BaSiP4(HO7)2,5.748299999999999,"['Ba', 'H', 'O', 'P', 'Si']"
BaSiPd,0.0,"['Ba', 'Pd', 'Si']"
BaSiPt,0.0,"['Ba', 'Pt', 'Si']"
BaSm2CoO5,1.4676,"['Ba', 'Co', 'O', 'Sm']"
BaSm2O4,3.184599999999999,"['Ba', 'O', 'Sm']"
BaSm2PdO5,2.032,"['Ba', 'O', 'Pd', 'Sm']"
BaSm2Sc2O7,3.534,"['Ba', 'O', 'Sc', 'Sm']"
BaSmC2O6F,4.295999999999999,"['Ba', 'C', 'F', 'O', 'Sm']"
BaSmFeCuO5,0.0,"['Ba', 'Cu', 'Fe', 'O', 'Sm']"
BaSn,0.0,"['Ba', 'Sn']"
BaSn(GeO3)3,2.7866,"['Ba', 'Ge', 'O', 'Sn']"
BaSn(HO)6,3.655999999999999,"['Ba', 'H', 'O', 'Sn']"
BaSn(PO4)2,3.703499999999999,"['Ba', 'O', 'P', 'Sn']"
BaSn2,0.0,"['Ba', 'Sn']"
BaSn2(HO2)2,2.102,"['Ba', 'H', 'O', 'Sn']"
BaSn2S3,1.569499999999999,"['Ba', 'S', 'Sn']"
BaSn3,0.0,"['Ba', 'Sn']"
BaSn3Au,0.0,"['Au', 'Ba', 'Sn']"
BaSn3Pd,0.0,"['Ba', 'Pd', 'Sn']"
BaSn3Pt,0.0,"['Ba', 'Pt', 'Sn']"
BaSnF4,3.6599,"['Ba', 'F', 'Sn']"
BaSnF6,4.9883,"['Ba', 'F', 'Sn']"
BaSnHg,0.0,"['Ba', 'Hg', 'Sn']"
BaSnHgS4,1.8593000000000002,"['Ba', 'Hg', 'S', 'Sn']"
BaSnO3,0.372399999999999,"['Ba', 'O', 'Sn']"
BaSnS2,1.638,"['Ba', 'S', 'Sn']"
BaSr2(PN2)6,4.265599999999999,"['Ba', 'N', 'P', 'Sr']"
BaSr2Mg(SiO4)2,4.759,"['Ba', 'Mg', 'O', 'Si', 'Sr']"
BaSr3(CoO3)4,0.0437,"['Ba', 'Co', 'O', 'Sr']"
BaSr4,0.0,"['Ba', 'Sr']"
BaSr4U3O14,2.0784,"['Ba', 'O', 'Sr', 'U']"
BaSrBi3,0.0,"['Ba', 'Bi', 'Sr']"
BaSrMn2Al9PbO20,1.233,"['Al', 'Ba', 'Mn', 'O', 'Pb', 'Sr']"
BaSrNdSbO6,3.6367000000000003,"['Ba', 'Nd', 'O', 'Sb', 'Sr']"
BaSrPrSbO6,3.6275,"['Ba', 'O', 'Pr', 'Sb', 'Sr']"
BaSrTa2O7,2.1929,"['Ba', 'O', 'Sr', 'Ta']"
BaSrTl2,0.0,"['Ba', 'Sr', 'Tl']"
BaSrV4(NiO4)4,2.933199999999999,"['Ba', 'Ni', 'O', 'Sr', 'V']"
BaSrYBiO6,1.7909000000000002,"['Ba', 'Bi', 'O', 'Sr', 'Y']"
BaTa2O6,2.1161,"['Ba', 'O', 'Ta']"
BaTaF7,5.3839,"['Ba', 'F', 'Ta']"
BaTaS3,0.0,"['Ba', 'S', 'Ta']"
BaTb2O4,3.2062,"['Ba', 'O', 'Tb']"
BaTcO3,0.0,"['Ba', 'O', 'Tc']"
BaTe,1.593,"['Ba', 'Te']"
BaTe2,0.12530000000000002,"['Ba', 'Te']"
BaTe2F10,4.8686,"['Ba', 'F', 'Te']"
BaTe3,0.8198000000000001,"['Ba', 'Te']"
BaTe4O9,3.1536,"['Ba', 'O', 'Te']"
BaTeO3,2.7149,"['Ba', 'O', 'Te']"
BaTeO4,2.1894,"['Ba', 'O', 'Te']"
BaTeS3,1.9088,"['Ba', 'S', 'Te']"
BaTh(PO4)2,5.0577,"['Ba', 'O', 'P', 'Th']"
BaTh2S5,1.735999999999999,"['Ba', 'S', 'Th']"
BaThN2,0.435799999999999,"['Ba', 'N', 'Th']"
BaThO3,4.047,"['Ba', 'O', 'Th']"
BaTi(AsO4)2,2.4211,"['As', 'Ba', 'O', 'Ti']"
BaTi(IO3)6,2.7339,"['Ba', 'I', 'O', 'Ti']"
BaTi(PO4)2,2.592399999999999,"['Ba', 'O', 'P', 'Ti']"
BaTi(S2O7)3,2.7332,"['Ba', 'O', 'S', 'Ti']"
BaTi(SiO3)3,3.0661,"['Ba', 'O', 'Si', 'Ti']"
BaTi2As2O,0.0,"['As', 'Ba', 'O', 'Ti']"
BaTi2O5,2.8033,"['Ba', 'O', 'Ti']"
BaTi2Sb2O,0.0,"['Ba', 'O', 'Sb', 'Ti']"
BaTi8O16,0.0,"['Ba', 'O', 'Ti']"
BaTiCu4P4O17,0.27430000000000004,"['Ba', 'Cu', 'O', 'P', 'Ti']"
BaTiF6,4.3236,"['Ba', 'F', 'Ti']"
BaTiO3,2.2929999999999993,"['Ba', 'O', 'Ti']"
BaTiOF4,3.34,"['Ba', 'F', 'O', 'Ti']"
BaTiSe3,0.0,"['Ba', 'Se', 'Ti']"
BaTl2,0.0,"['Ba', 'Tl']"
BaTl2O4,0.8200000000000001,"['Ba', 'O', 'Tl']"
BaTl4,0.0,"['Ba', 'Tl']"
BaTlHg2,0.0,"['Ba', 'Hg', 'Tl']"
BaTlVO4,3.5439,"['Ba', 'O', 'Tl', 'V']"
BaTm2F8,7.2347,"['Ba', 'F', 'Tm']"
BaU2S5,0.0,"['Ba', 'S', 'U']"
BaU2Se5,0.0,"['Ba', 'Se', 'U']"
BaU2Te5,0.0,"['Ba', 'Te', 'U']"
BaU2V2O12,1.9806999999999992,"['Ba', 'O', 'U', 'V']"
BaUI6,0.19989999999999902,"['Ba', 'I', 'U']"
BaUO3,0.0,"['Ba', 'O', 'U']"
BaUO4,2.1144,"['Ba', 'O', 'U']"
BaUPO6F,2.1124,"['Ba', 'F', 'O', 'P', 'U']"
BaUS3,0.0,"['Ba', 'S', 'U']"
BaUTe6,0.181699999999999,"['Ba', 'Te', 'U']"
BaUTiO6,1.9643000000000002,"['Ba', 'O', 'Ti', 'U']"
BaV10O15,0.8558000000000001,"['Ba', 'O', 'V']"
BaV2(CoO4)2,0.0,"['Ba', 'Co', 'O', 'V']"
BaV2(NiO4)2,0.016199999999999,"['Ba', 'Ni', 'O', 'V']"
BaV2(P2O7)2,2.0462,"['Ba', 'O', 'P', 'V']"
BaV2Ni3(HO5)2,2.5875999999999992,"['Ba', 'H', 'Ni', 'O', 'V']"
BaV2O6,2.878,"['Ba', 'O', 'V']"
BaV2TeO8,2.6938,"['Ba', 'O', 'Te', 'V']"
BaV8O16,0.0,"['Ba', 'O', 'V']"
BaVAsO6,2.6697,"['As', 'Ba', 'O', 'V']"
BaVCdF7,2.5315,"['Ba', 'Cd', 'F', 'V']"
BaVClO3,2.3925,"['Ba', 'Cl', 'O', 'V']"
BaVCu4P4O17,0.012399999999999,"['Ba', 'Cu', 'O', 'P', 'V']"
BaVOF4,2.7946,"['Ba', 'F', 'O', 'V']"
BaVPO6,2.469,"['Ba', 'O', 'P', 'V']"
BaVS3,0.0,"['Ba', 'S', 'V']"
BaVZnF7,2.5205,"['Ba', 'F', 'V', 'Zn']"
BaWF7,3.2735,"['Ba', 'F', 'W']"
BaWN3,1.505,"['Ba', 'N', 'W']"
BaWO4,4.8822,"['Ba', 'O', 'W']"
BaY2F8,7.1307,"['Ba', 'F', 'Y']"
BaY2O4,3.2515,"['Ba', 'O', 'Y']"
BaY2Si3O10,4.8161000000000005,"['Ba', 'O', 'Si', 'Y']"
BaYAgSe3,1.3282,"['Ag', 'Ba', 'Se', 'Y']"
BaYAgTe3,0.7675000000000001,"['Ag', 'Ba', 'Te', 'Y']"
BaYCuS3,1.1779,"['Ba', 'Cu', 'S', 'Y']"
BaYCuSe3,0.9653,"['Ba', 'Cu', 'Se', 'Y']"
BaYCuTe3,0.5313999999999991,"['Ba', 'Cu', 'Te', 'Y']"
BaYF5,7.2652,"['Ba', 'F', 'Y']"
BaYFeO4,1.7746,"['Ba', 'Fe', 'O', 'Y']"
BaYSi4N7,2.7321,"['Ba', 'N', 'Si', 'Y']"
BaYZn3GaO7,2.2037,"['Ba', 'Ga', 'O', 'Y', 'Zn']"
BaYb2F8,0.0,"['Ba', 'F', 'Yb']"
BaYb2NiO5,0.0,"['Ba', 'Ni', 'O', 'Yb']"
BaYbCuTe3,0.7876000000000001,"['Ba', 'Cu', 'Te', 'Yb']"
BaZn(SeO3)2,3.7891,"['Ba', 'O', 'Se', 'Zn']"
BaZn13,0.0,"['Ba', 'Zn']"
BaZn2,0.0,"['Ba', 'Zn']"
BaZn2(AsO4)2,3.1532,"['As', 'Ba', 'O', 'Zn']"
